Year,Transect_no,Control,Date,Birds_present,Part_of_transect,Dostance_cat,No_singing_males
2011,TBB09,3,10/06/2011,yes,1,3,1
2011,TBB09,3,10/06/2011,yes,2,1,1
2011,TBB09,3,10/06/2011,yes,2,3,1
2011,TBB09,3,10/06/2011,yes,3,1,1
2011,TBB09,3,10/06/2011,yes,4,1,1
2011,TBB09,3,10/06/2011,yes,4,2,1
2011,TBB09,3,10/06/2011,yes,5,3,2
2011,TBB10,1,25/05/2011,yes,1,1,1
2011,TBB10,1,25/05/2011,yes,1,2,2
2011,TBB10,1,25/05/2011,yes,1,3,1
2011,TBB10,1,25/05/2011,no,2,,0
2011,TBB10,1,25/05/2011,yes,3,2,1
2011,TBB10,1,25/05/2011,yes,4,1,1
2011,TBB10,1,25/05/2011,yes,5,1,1
2011,TBB10,1,25/05/2011,yes,5,2,1
2011,TBB10,2,26/05/2011,yes,1,2,2
2011,TBB10,2,26/05/2011,no,2,,0
2011,TBB10,2,26/05/2011,yes,3,3,1
2011,TBB10,2,26/05/2011,yes,4,1,1
2011,TBB10,2,26/05/2011,yes,4,2,1
2011,TBB10,2,26/05/2011,yes,5,3,1
2011,TBB10,3,1/06/2011,yes,1,1,1
2011,TBB10,3,1/06/2011,yes,1,2,1
2011,TBB10,3,1/06/2011,yes,2,2,1
2011,TBB10,3,1/06/2011,yes,3,3,1
2011,TBB10,3,1/06/2011,yes,4,2,1
2011,TBB10,3,1/06/2011,yes,5,1,1
2011,TBB10,3,1/06/2011,yes,5,2,1
2011,TBB11,1,1/06/2011,yes,1,2,1
2011,TBB11,1,1/06/2011,no,2,,0
2011,TBB11,1,1/06/2011,yes,3,1,1
2011,TBB11,1,1/06/2011,yes,3,2,2
2011,TBB11,1,1/06/2011,yes,4,2,1
2011,TBB11,1,1/06/2011,yes,5,1,1
2011,TBB11,1,1/06/2011,yes,5,3,2
2011,TBB11,2,2/06/2011,no,1,,0
2011,TBB11,2,2/06/2011,yes,2,2,1
2011,TBB11,2,2/06/2011,yes,3,1,1
2011,TBB11,2,2/06/2011,yes,3,3,1
2011,TBB11,2,2/06/2011,yes,4,1,1
2011,TBB11,2,2/06/2011,yes,5,2,3
