"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[6,27]",76.94785,29.8512371232156,37,59,73,89,141,1.00303232254417,40000,0,1,"Ntot[6,27]"
"Ntot[7,27]",76.9853,29.4358471194119,37,59,73,89,142,1.00235466366901,40000,0,1,"Ntot[7,27]"
"Ntot[8,27]",76.9954,30.1517562846707,37,59,73,89,141,1.00217708534863,40000,0,1,"Ntot[8,27]"
"Ntot[1,28]",59.664225,28.5571474050906,23,43,56,70,120,1.00053242225642,40000,0,1,"Ntot[1,28]"
"Ntot[2,28]",75.711275,29.4360522982235,36,59,72,87,139.025000000001,1.00057987453669,40000,0,1,"Ntot[2,28]"
"Ntot[3,28]",73.45675,37.6331965938936,28,52,68,87,152,1.00213511307542,40000,0,1,"Ntot[3,28]"
"Ntot[4,28]",89.379925,37.8573481832083,41,68,84,103,171,1.00089540058186,40000,0,1,"Ntot[4,28]"
"Ntot[5,28]",73.42485,36.1296178530808,28,52,68,87,152,1.00033076978868,40000,0,1,"Ntot[5,28]"
"Ntot[6,28]",89.496775,37.6405540591809,41,67,84,104,171.025000000001,1.00033806874476,40000,0,1,"Ntot[6,28]"
"Ntot[7,28]",73.554475,37.1462525509147,28,52,68,87,153,1.00153917426589,40000,0,1,"Ntot[7,28]"
