parm,mean,sd,lcl,25%,median,75%,ucl,Rhat,n.eff,overlap0,f,parm
"db[4,3]",0.249572359,0.070446821,0.111762589,0.20216033,0.249177817,0.29695284,0.387647045,1.000010569,40000,0,1,"db[4,3]"
"db[5,3]",0.250590245,0.069978001,0.113393871,0.20307019,0.250715028,0.297566072,0.387546942,1.000040286,28163,0,1,"db[5,3]"
"db[6,3]",0.250443882,0.069338758,0.114948506,0.203621219,0.250182057,0.297871397,0.384995354,1.000076391,28001,0,1,"db[6,3]"
"db[7,3]",0.249962719,0.070117729,0.112251068,0.202740217,0.24976425,0.297491523,0.387806017,1.000101401,17225,0,1,"db[7,3]"
"db[8,3]",0.25026899,0.070381691,0.113801137,0.2024061,0.250642397,0.29749499,0.38854893,1.000077745,23262,0,1,"db[8,3]"
"db[9,3]",0.250609804,0.070091619,0.113872287,0.20308626,0.2501301,0.297856779,0.388663391,1.000196524,10687,0,1,"db[9,3]"
"db[10,3]",0.250265353,0.069550747,0.113849977,0.203157887,0.250148105,0.297913311,0.385313462,0.999996022,40000,0,1,"db[10,3]"
"db[11,3]",0.250749228,0.070090322,0.112640387,0.203709739,0.250601436,0.298071196,0.389035978,1.000061698,40000,0,1,"db[11,3]"
"db[12,3]",0.249645934,0.07014333,0.112008706,0.202351127,0.249644214,0.29709718,0.387941596,1.000060132,40000,0,1,"db[12,3]"
"db[13,3]",0.250413824,0.069573199,0.115135524,0.202847398,0.250431711,0.297361315,0.387134669,1.000015455,40000,0,1,"db[13,3]"
"db[14,3]",0.250463223,0.069726709,0.113658005,0.203859028,0.250285518,0.296981508,0.388344822,1.000015605,40000,0,1,"db[14,3]"
"db[15,3]",0.250087979,0.069975247,0.113560098,0.202518648,0.250095531,0.297297685,0.386623766,1.00002372,40000,0,1,"db[15,3]"
"db[16,3]",0.249983476,0.070257551,0.111440124,0.203003187,0.249919754,0.297018553,0.388270922,1.00004855,33905,0,1,"db[16,3]"
"db[17,3]",0.250263332,0.070136991,0.112604001,0.203044236,0.249980049,0.297735288,0.387334013,0.999991228,40000,0,1,"db[17,3]"
"db[18,3]",0.24992067,0.069910104,0.113234131,0.202516701,0.249950458,0.296934161,0.387540563,1.000244783,10582,0,1,"db[18,3]"
"db[19,3]",0.250377151,0.069872139,0.113333736,0.203082034,0.250676388,0.297682409,0.386486267,1.000171105,16423,0,1,"db[19,3]"
"db[20,3]",0.250112764,0.069734209,0.112868335,0.202955551,0.249970886,0.297053652,0.387657596,0.99999866,40000,0,1,"db[20,3]"
"db[21,3]",0.250166095,0.069411567,0.113779527,0.203538894,0.250140211,0.297137262,0.386746344,1.00010251,22632,0,1,"db[21,3]"
"db[22,3]",0.250415918,0.070096166,0.112653501,0.203466298,0.250644515,0.297686338,0.387941651,1.000032876,32309,0,1,"db[22,3]"
"db[23,3]",0.250225225,0.070205728,0.111804443,0.202788678,0.250407567,0.297530981,0.387202741,1.000045154,35633,0,1,"db[23,3]"
"db[24,3]",0.249960372,0.070037888,0.1128881,0.202581809,0.249915347,0.297249511,0.387050608,1.000054643,27409,0,1,"db[24,3]"
"db[25,3]",0.249649302,0.069756492,0.113924435,0.202170278,0.249390456,0.296603947,0.388218314,1.000052658,32808,0,1,"db[25,3]"
"db[26,3]",0.250607723,0.069299576,0.114779426,0.203876604,0.250329309,0.297010222,0.387313925,0.999996322,40000,0,1,"db[26,3]"
"db[27,3]",0.24936074,0.06996089,0.111494547,0.202116107,0.249109918,0.296848955,0.385828911,0.99998104,40000,0,1,"db[27,3]"
"db[28,3]",0.25050604,0.069901461,0.11251833,0.203709158,0.250782412,0.29743665,0.387618704,1.000239614,10256,0,1,"db[28,3]"
"db[29,3]",0.25024557,0.069404195,0.113897618,0.203481645,0.249940737,0.297532875,0.386174704,1.000038892,40000,0,1,"db[29,3]"
"db[30,3]",0.249832474,0.069819951,0.11351103,0.203120613,0.249415208,0.296538037,0.387617745,1.000047309,27172,0,1,"db[30,3]"
"db[31,3]",0.249958004,0.069632676,0.113630635,0.203293754,0.2493414,0.296722018,0.386922965,1.000054952,26162,0,1,"db[31,3]"
"db[32,3]",0.250128718,0.06950844,0.112767148,0.203674637,0.249752826,0.296708894,0.386741793,1.000022416,40000,0,1,"db[32,3]"
"db[33,3]",0.250062681,0.069939829,0.112270129,0.202706866,0.249802421,0.297444888,0.38747906,1.00003404,40000,0,1,"db[33,3]"
"db[34,3]",0.250279101,0.069460136,0.114847314,0.203245548,0.250540323,0.2970652,0.386607634,1.000120917,20099,0,1,"db[34,3]"
"db[35,3]",0.250147583,0.069504315,0.114243416,0.203258981,0.249885157,0.296799324,0.386148766,0.99998353,40000,0,1,"db[35,3]"
"db[36,3]",0.250115083,0.070339251,0.112467184,0.202417921,0.249955463,0.298011318,0.387370885,1.000105559,25619,0,1,"db[36,3]"
"db[37,3]",0.250333727,0.069882443,0.113598489,0.202867166,0.250312586,0.297120259,0.388233121,1.000065596,40000,0,1,"db[37,3]"
"db[38,3]",0.250254082,0.07025405,0.112178495,0.202618638,0.250266605,0.297778301,0.387607912,1.000024932,40000,0,1,"db[38,3]"
"db[1,4]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,4]"
"db[2,4]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,4]"
"db[3,4]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,4]"
"db[4,4]",0.249977357,0.069733738,0.112748583,0.20280229,0.249983278,0.296697782,0.386547511,1.000016725,40000,0,1,"db[4,4]"
"db[5,4]",0.250293817,0.070208832,0.113249499,0.203274468,0.250288314,0.297580952,0.387775835,1.000070263,34828,0,1,"db[5,4]"
"db[6,4]",0.250637654,0.069880405,0.113000628,0.203560174,0.250398259,0.297876489,0.387058641,1.000003782,40000,0,1,"db[6,4]"
"db[7,4]",0.249728681,0.070301103,0.112299018,0.202475084,0.250159335,0.296699666,0.388308551,0.999983561,40000,0,1,"db[7,4]"
"db[8,4]",0.250236971,0.070094823,0.11298277,0.202927615,0.24974112,0.297568361,0.387529441,0.999991521,40000,0,1,"db[8,4]"
"db[9,4]",0.250318786,0.069770062,0.113457616,0.203293139,0.250398461,0.297611962,0.386749042,1.000122088,40000,0,1,"db[9,4]"
"db[10,4]",0.25080963,0.069917107,0.114114248,0.203761124,0.250709757,0.297852311,0.387418649,0.999997126,40000,0,1,"db[10,4]"
"db[11,4]",0.250099931,0.070115164,0.11332556,0.202606925,0.249868373,0.296951697,0.388042049,1.000079798,21116,0,1,"db[11,4]"
"db[12,4]",0.250488168,0.070498715,0.111559457,0.20300689,0.250751876,0.297839116,0.387831693,1.000164599,13595,0,1,"db[12,4]"
"db[13,4]",0.250341177,0.069630334,0.11407998,0.203315287,0.249992874,0.297079007,0.387605848,1.000013985,40000,0,1,"db[13,4]"
