"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[19,2]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[19,2]"
"Ntot[20,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[20,2]"
"Ntot[21,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[21,2]"
"Ntot[22,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[22,2]"
"Ntot[23,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[23,2]"
"Ntot[24,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[24,2]"
"Ntot[25,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[25,2]"
"Ntot[26,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[26,2]"
"Ntot[27,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[27,2]"
"Ntot[28,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[28,2]"
"Ntot[29,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[29,2]"
"Ntot[30,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[30,2]"
"Ntot[31,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[31,2]"
"Ntot[32,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[32,2]"
"Ntot[33,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[33,2]"
"Ntot[34,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[34,2]"
"Ntot[35,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[35,2]"
"Ntot[36,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[36,2]"
"Ntot[37,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[37,2]"
"Ntot[38,2]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[38,2]"
"Ntot[1,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[1,3]"
"Ntot[2,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[2,3]"
"Ntot[3,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[3,3]"
